Model,Spearman_Correlation,Pearson_Correlation,Inference_Speed,Model_Size_MB,Memory_Usage_MB,Topsis Score,Rank
all-MiniLM-L6-v2,0.8203246731235654,0.8274064258290301,218.48522299312063,22.7,111.078125,0.8383663743288541,2
all-mpnet-base-v2,0.8342190421330611,0.8403996149308115,37.74246634410604,109.0,403.33203125,0.04724660656584393,6
paraphrase-MiniLM-L6-v2,0.8412344292546856,0.8361305264981636,264.1292731414586,22.7,70.8203125,0.9889093876570436,1
distilbert-base-nli-stsb,0.8516186502017491,0.842518828111974,76.45175045534262,66.0,164.44140625,0.3812910942273168,4
all-distilroberta-v1,0.825179748340118,0.8353960227818658,84.8614911484841,82.0,227.58984375,0.31696142996431864,5
paraphrase-multilingual-MiniLM,0.8441678301403761,0.8342123281027383,130.76899217164723,118.0,111.43359375,0.4225677707697081,3
